outlet,tier,mentions
Foreign Affairs New Zealand,Other / regional,10
LabRoots,Other / regional,9
Scitech Daily,Other / regional,8
Technology Networks,Other / regional,8
Newsbreak,Other / regional,8
Sputnik News,Other / regional,8
Science Alert,Other / regional,6
Futura-Sciences,Other / regional,6
inkl,Other / regional,5
Australasian Science,Other / regional,5
Dailyhunt,Other / regional,5
Canaltech,Other / regional,4
Popmech,Other / regional,4
The Age,Other / regional,4
Western Australia Today,Other / regional,4
The University of Adelaide - News,Other / regional,4
Science Daily,Other / regional,4
ABC.net.au,Other / regional,4
Big News Network,Other / regional,4
The Medical News,Other / regional,4
Latestly,Other / regional,4
ScienMag,Other / regional,4
News 18,Other / regional,4
FOCUS Online,Other / regional,4
Raw News Health,Other / regional,3
New Atlas,Other / regional,3
T3n,Other / regional,3
Superinteressante,Other / regional,3
Sciences et Avenir,Other / regional,3
Swift Telecast,Other / regional,3
AllAfrica,Other / regional,3
The Raw Story,Other / regional,3
Spektrum,Other / regional,3
AZO Life Sciences,Other / regional,3
New Kerala,Other / regional,3
International Business Times India,Other / regional,3
Nachrichten Welt,Other / regional,3
Newswise,Other / regional,3
ZAP,Other / regional,3
Galileu,Other / regional,3
Gazeta.ru,Other / regional,3
DNYUZ,Other / regional,3
Pressfrom,Other / regional,3
Bioengineer.org,Other / regional,3
ABC.es,Other / regional,3
infosurhoy,Other / regional,3
Olhar Digital,Other / regional,2
UOL,Other / regional,2
La Vanguardia,Other / regional,2
Space.com,Other / regional,2
Sci-News,Other / regional,2
AOL (UK),Other / regional,2
Elite News,Other / regional,2
NZCity ,Other / regional,2
EarthSky,Other / regional,2
Space Daily,Other / regional,2
NewsBeezer,Other / regional,2
24.hu,Other / regional,2
Deutschlandfunk Nova,Other / regional,2
Medindia,Other / regional,2
Telengana Today,Other / regional,2
CanIndia,Other / regional,2
ProKerala,Other / regional,2
SocialNews.XYZ,Other / regional,2
Politifact,Other / regional,2
Il Foglio,Other / regional,2
Newslanes,Other / regional,2
The Wire,Other / regional,2
Delfi Lietuva,Other / regional,2
Metr�poles,Other / regional,2
Iflscience,Other / regional,2
The Print,Other / regional,2
Devdiscourse,Other / regional,2
journalbreak.Com,Other / regional,2
Focus.pl,Other / regional,2
Replic�rio,Other / regional,2
infobae,Other / regional,2
World Economic Forum,Other / regional,2
Focus.it,Other / regional,2
Daily Geek Show,Other / regional,2
Business Standard,Other / regional,2
HTDS Content Services,Other / regional,2
Eurasia Review,Other / regional,2
Stuff.co.nz,Other / regional,2
The Amed Post,Other / regional,2
Business Insider Nederland,Other / regional,2
News 24,Other / regional,2
The Week (India),Other / regional,2
India Today,Other / regional,2
KVIA,Other / regional,2
RT Network,Other / regional,2
Latercera,Other / regional,2
Google News,Other / regional,2
Naked Science,Other / regional,2
Interesting Engineering,Other / regional,2
RT Arabic,Other / regional,2
NIUS,Other / regional,2
NewsyPeople,Other / regional,2
Sciencenewsnet.in,Other / regional,2
LiveScience,Other / regional,2
Scinexx,Other / regional,2
The National,Other / regional,2
La Voz Digital,Other / regional,2
ABC desevilla,Other / regional,2
ORF.at,Other / regional,2
okdiario,Other / regional,1
Meteored France,Other / regional,1
Nipponese.news,Other / regional,1
Karmactive,Other / regional,1
Alert Breaking News - US,Other / regional,1
Heraldo Spain,Other / regional,1
Civil.de,Other / regional,1
Meteored Italia,Other / regional,1
Meteored,Other / regional,1
Inverse,Other / regional,1
Meteored UK,Other / regional,1
Earth,Other / regional,1
My Science,Other / regional,1
Universidad de Zaragoza,Other / regional,1
WION,Other / regional,1
Perth Now,Other / regional,1
The Advocate - Hepburn,Other / regional,1
Port Stephens Examiner ,Other / regional,1
Bega District News,Other / regional,1
Muswellbrook Chronicle,Other / regional,1
The Examiner,Other / regional,1
The Armidale Express,Other / regional,1
Southern Highland News,Other / regional,1
Lithgow Mercury,Other / regional,1
Daily Liberal,Other / regional,1
Newcastle Herald,Other / regional,1
Camden Haven Courier,Other / regional,1
Great Lakes Advocate,Other / regional,1
Oberon Review,Other / regional,1
The Courier Australia,Other / regional,1
Magnet,Other / regional,1
South Coast Register,Other / regional,1
The Ararat Advertiser,Other / regional,1
The Macleay Argus,Other / regional,1
Illawarra Mercury,Other / regional,1
Central Western Daily,Other / regional,1
The Scone Advocate,Other / regional,1
St George & Sutherland Shire Leader ,Other / regional,1
Port Macquarie News,Other / regional,1
Bendigo Advertiser,Other / regional,1
Hawkesbury Gazette,Other / regional,1
Warrnambool Standard ,Other / regional,1
Redland City Bulletin,Other / regional,1
Yass Tribune,Other / regional,1
Goulbourn Post,Other / regional,1
Western Advocate,Other / regional,1
Blue Mountains Gazette,Other / regional,1
Crookwell Gazette,Other / regional,1
Narromine News,Other / regional,1
The Rural,Other / regional,1
Batemans Bay Post,Other / regional,1
Blayney Chronicle,Other / regional,1
The Advocate ,Other / regional,1
Tenterfield Star,Other / regional,1
THE Senior,Other / regional,1
Bunbury Mail,Other / regional,1
Nyngan Observer,Other / regional,1
Mandurah Mail,Other / regional,1
The Northern Daily Leader,Other / regional,1
The Border Mail,Other / regional,1
Narooma News,Other / regional,1
NewsGroove Uk,Other / regional,1
Queensland University of Technology,Other / regional,1
Prematch.com,Other / regional,1
Modern Sciences,Other / regional,1
1TV.ge,Other / regional,1
Terra Daily,Other / regional,1
Sky Nightly ,Other / regional,1
Nouvelles du monde,Other / regional,1
Qrius,Other / regional,1
Idaho Press,Other / regional,1
Houston Chronicle,Other / regional,1
Seattle Post-Intelligencer,Other / regional,1
SFGate,Other / regional,1
The Daily Caller,Other / regional,1
Free ,Other / regional,1
Drug Target Review,Other / regional,1
Daijiworld.com,Other / regional,1
Telugu Stop.com,Other / regional,1
Ummid.com,Other / regional,1
Healthcare Asia,Other / regional,1
UNSW Newsroom,Other / regional,1
MedicalXpress,Other / regional,1
Psychreg,Other / regional,1
Today UK News,Other / regional,1
 TechNewsBoy,Other / regional,1
The Freepress Journal,Other / regional,1
Revyuh,Other / regional,1
9 News,Other / regional,1
Archaeology,Other / regional,1
Queer,Other / regional,1
Publico,Other / regional,1
Lenta.ru,Other / regional,1
Up jobs news,Other / regional,1
ANI News,Other / regional,1
Illustreret Videnskab,Other / regional,1
